"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijven_1";"Aangiften_2";"Internetaangiften_3"
"116";"0.0.0 ";"NL01  ";"2020JJ00";"797794";"668670";"344730"
"268";"0.0.0 ";"LD01  ";"2020JJ00";"62948";"52599";"24789"
"420";"0.0.0 ";"LD02  ";"2020JJ00";"145240";"121594";"62700"
"572";"0.0.0 ";"LD03  ";"2020JJ00";"420565";"351925";"184105"
"724";"0.0.0 ";"LDG4  ";"2020JJ00";;;
"876";"0.0.0 ";"LD04  ";"2020JJ00";"168718";"142231";"72815"
"1028";"0.0.0 ";"LD99  ";"2020JJ00";"323";"321";"321"
"1180";"0.0.0 ";"PV20  ";"2020JJ00";"23579";"19898";"9367"
"1332";"0.0.0 ";"PV21  ";"2020JJ00";"21743";"17433";"8013"
"1484";"0.0.0 ";"PV22  ";"2020JJ00";"17626";"15268";"7409"
"1636";"0.0.0 ";"PV23  ";"2020JJ00";"44031";"36500";"18980"
"1788";"0.0.0 ";"PV24  ";"2020JJ00";"18523";"15429";"7310"
"1940";"0.0.0 ";"PV25  ";"2020JJ00";"82686";"69665";"36410"
"2092";"0.0.0 ";"PV26  ";"2020JJ00";"62995";"55407";"31778"
"2244";"0.0.0 ";"PV27  ";"2020JJ00";"152587";"128318";"67035"
"2396";"0.0.0 ";"PV28  ";"2020JJ00";"190991";"157109";"80152"
"2548";"0.0.0 ";"PV29  ";"2020JJ00";"13992";"11091";"5140"
"2700";"0.0.0 ";"PV30  ";"2020JJ00";"118343";"99742";"51842"
"2852";"0.0.0 ";"PV31  ";"2020JJ00";"50375";"42489";"20973"
"3004";"0.0.0 ";"PV99  ";"2020JJ00";"323";"321";"321"
"3156";"0.0.0 ";"GM1680";"2020JJ00";"619";"532";"264"
"3308";"0.0.0 ";"GM0358";"2020JJ00";"1109";"946";"465"
"3460";"0.0.0 ";"GM0197";"2020JJ00";"553";"464";"261"
"3612";"0.0.0 ";"GM0059";"2020JJ00";"682";"503";"240"
"3764";"0.0.0 ";"GM0482";"2020JJ00";"763";"660";"401"
"3916";"0.0.0 ";"GM0613";"2020JJ00";"1177";"1045";"611"
"4068";"0.0.0 ";"GM0361";"2020JJ00";"5512";"4798";"2616"
"4220";"0.0.0 ";"GM0141";"2020JJ00";"3757";"2906";"1340"
"4372";"0.0.0 ";"GM0034";"2020JJ00";"10019";"8294";"4005"
"4524";"0.0.0 ";"GM0484";"2020JJ00";"4384";"3675";"1889"
"4676";"0.0.0 ";"GM1723";"2020JJ00";"300";"254";"118"
"4828";"0.0.0 ";"GM1959";"2020JJ00";"1748";"1400";"910"
"4980";"0.0.0 ";"GM0060";"2020JJ00";"94";"80";"25"
"5132";"0.0.0 ";"GM0307";"2020JJ00";"7334";"6428";"3732"
"5284";"0.0.0 ";"GM0362";"2020JJ00";"3947";"3324";"1804"
"5436";"0.0.0 ";"GM0363";"2020JJ00";"70912";"57585";"29702"
"5588";"0.0.0 ";"GM0200";"2020JJ00";"7550";"6087";"3148"
"5740";"0.0.0 ";"GM0202";"2020JJ00";"11190";"9270";"4483"
"5892";"0.0.0 ";"GM0106";"2020JJ00";"3658";"3196";"1606"
"6044";"0.0.0 ";"GM0743";"2020JJ00";"636";"515";"273"
"6196";"0.0.0 ";"GM0744";"2020JJ00";"197";"164";"77"
"6348";"0.0.0 ";"GM0308";"2020JJ00";"1048";"920";"512"
"6500";"0.0.0 ";"GM0489";"2020JJ00";"1944";"1689";"1063"
"6652";"0.0.0 ";"GM0203";"2020JJ00";"1841";"1476";"771"
"6804";"0.0.0 ";"GM0888";"2020JJ00";"742";"611";"342"
"6956";"0.0.0 ";"GM1954";"2020JJ00";"1159";"1038";"575"
"7108";"0.0.0 ";"GM0889";"2020JJ00";"392";"346";"183"
"7260";"0.0.0 ";"GM1945";"2020JJ00";"1138";"1012";"555"
"7412";"0.0.0 ";"GM1724";"2020JJ00";"538";"491";"240"
"7564";"0.0.0 ";"GM0893";"2020JJ00";"365";"303";"172"
"7716";"0.0.0 ";"GM0373";"2020JJ00";"911";"813";"428"
"7868";"0.0.0 ";"GM0748";"2020JJ00";"3485";"2923";"1478"
"8020";"0.0.0 ";"GM1859";"2020JJ00";"950";"791";"387"
"8172";"0.0.0 ";"GM1721";"2020JJ00";"921";"785";"388"
"8324";"0.0.0 ";"GM0753";"2020JJ00";"1242";"1048";"529"
"8476";"0.0.0 ";"GM0209";"2020JJ00";"902";"802";"474"
"8628";"0.0.0 ";"GM0375";"2020JJ00";"1816";"1609";"724"
"8780";"0.0.0 ";"GM0310";"2020JJ00";"1810";"1634";"1000"
"8932";"0.0.0 ";"GM1728";"2020JJ00";"686";"607";"331"
"9084";"0.0.0 ";"GM0376";"2020JJ00";"365";"340";"196"
"9236";"0.0.0 ";"GM0377";"2020JJ00";"1059";"904";"562"
"9388";"0.0.0 ";"GM1901";"2020JJ00";"1200";"1039";"565"
"9540";"0.0.0 ";"GM0755";"2020JJ00";"262";"240";"117"
"9692";"0.0.0 ";"GM1681";"2020JJ00";"591";"478";"238"
"9844";"0.0.0 ";"GM0147";"2020JJ00";"617";"486";"259"
"9996";"0.0.0 ";"GM0654";"2020JJ00";"522";"421";"226"
"10148";"0.0.0 ";"GM0757";"2020JJ00";"1235";"1051";"603"
"10300";"0.0.0 ";"GM0758";"2020JJ00";"10979";"9132";"4809"
"10452";"0.0.0 ";"GM1876";"2020JJ00";"725";"642";"350"
"10604";"0.0.0 ";"GM0213";"2020JJ00";"600";"490";"269"
"10756";"0.0.0 ";"GM0899";"2020JJ00";"1147";"983";"436"
"10908";"0.0.0 ";"GM0312";"2020JJ00";"542";"487";"303"
"11060";"0.0.0 ";"GM0313";"2020JJ00";"629";"526";"289"
"11212";"0.0.0 ";"GM0214";"2020JJ00";"763";"670";"336"
"11364";"0.0.0 ";"GM0502";"2020JJ00";"3042";"2569";"1357"
"11516";"0.0.0 ";"GM0383";"2020JJ00";"1045";"920";"492"
"11668";"0.0.0 ";"GM0109";"2020JJ00";"1266";"1095";"495"
"11820";"0.0.0 ";"GM1706";"2020JJ00";"886";"715";"315"
"11972";"0.0.0 ";"GM0216";"2020JJ00";"1299";"1171";"646"
"12124";"0.0.0 ";"GM0148";"2020JJ00";"490";"410";"211"
"12276";"0.0.0 ";"GM1891";"2020JJ00";"394";"292";"155"
"12428";"0.0.0 ";"GM0503";"2020JJ00";"5353";"4518";"2348"
"12580";"0.0.0 ";"GM0762";"2020JJ00";"1099";"978";"523"
"12732";"0.0.0 ";"GM0150";"2020JJ00";"4501";"3817";"1954"
"12884";"0.0.0 ";"GM0384";"2020JJ00";"1751";"1451";"702"
"13036";"0.0.0 ";"GM1980";"2020JJ00";"3408";"3023";"1393"
"13188";"0.0.0 ";"GM1774";"2020JJ00";"397";"337";"189"
"13340";"0.0.0 ";"GM0221";"2020JJ00";"324";"275";"153"
"13492";"0.0.0 ";"GM0222";"2020JJ00";"2279";"1920";"913"
"13644";"0.0.0 ";"GM0766";"2020JJ00";"743";"627";"339"
"13796";"0.0.0 ";"GM0505";"2020JJ00";"6372";"5188";"2510"
"13948";"0.0.0 ";"GM0498";"2020JJ00";"528";"457";"229"
"14100";"0.0.0 ";"GM1719";"2020JJ00";"903";"743";"414"
"14252";"0.0.0 ";"GM0303";"2020JJ00";"1353";"1145";"525"
"14404";"0.0.0 ";"GM0225";"2020JJ00";"488";"422";"245"
"14556";"0.0.0 ";"GM0226";"2020JJ00";"884";"760";"417"
"14708";"0.0.0 ";"GM1711";"2020JJ00";"1281";"1084";"497"
"14860";"0.0.0 ";"GM0385";"2020JJ00";"787";"683";"382"
"15012";"0.0.0 ";"GM0228";"2020JJ00";"4844";"4151";"2253"
"15164";"0.0.0 ";"GM0317";"2020JJ00";"283";"227";"132"
"15316";"0.0.0 ";"GM1979";"2020JJ00";"1594";"1330";"484"
"15468";"0.0.0 ";"GM0770";"2020JJ00";"611";"526";"245"
"15620";"0.0.0 ";"GM1903";"2020JJ00";"692";"623";"351"
"15772";"0.0.0 ";"GM0772";"2020JJ00";"17000";"13724";"6512"
"15924";"0.0.0 ";"GM0230";"2020JJ00";"585";"462";"260"
"16076";"0.0.0 ";"GM0114";"2020JJ00";"4332";"3743";"1761"
"16228";"0.0.0 ";"GM0388";"2020JJ00";"771";"692";"370"
"16380";"0.0.0 ";"GM0153";"2020JJ00";"10130";"8718";"4832"
"16532";"0.0.0 ";"GM0232";"2020JJ00";"974";"799";"375"
"16684";"0.0.0 ";"GM0233";"2020JJ00";"1118";"910";"454"
"16836";"0.0.0 ";"GM0777";"2020JJ00";"1721";"1435";"771"
"16988";"0.0.0 ";"GM1940";"2020JJ00";"1412";"1123";"558"
"17140";"0.0.0 ";"GM0779";"2020JJ00";"1002";"821";"482"
"17292";"0.0.0 ";"GM1771";"2020JJ00";"1646";"1409";"743"
"17444";"0.0.0 ";"GM1652";"2020JJ00";"962";"821";"431"
"17596";"0.0.0 ";"GM0907";"2020JJ00";"512";"435";"219"
"17748";"0.0.0 ";"GM0784";"2020JJ00";"1023";"878";"505"
"17900";"0.0.0 ";"GM1924";"2020JJ00";"1370";"1237";"650"
"18052";"0.0.0 ";"GM0664";"2020JJ00";"1687";"1341";"573"
"18204";"0.0.0 ";"GM0785";"2020JJ00";"776";"705";"366"
"18356";"0.0.0 ";"GM1942";"2020JJ00";"2789";"2473";"1530"
"18508";"0.0.0 ";"GM0512";"2020JJ00";"1818";"1398";"751"
"18660";"0.0.0 ";"GM0513";"2020JJ00";"3756";"3254";"1428"
"18812";"0.0.0 ";"GM0518";"2020JJ00";"36932";"29818";"13437"
"18964";"0.0.0 ";"GM0014";"2020JJ00";"12413";"10623";"5177"
"19116";"0.0.0 ";"GM1729";"2020JJ00";"518";"478";"289"
"19268";"0.0.0 ";"GM0158";"2020JJ00";"591";"496";"238"
"19420";"0.0.0 ";"GM0392";"2020JJ00";"8090";"7282";"4163"
"19572";"0.0.0 ";"GM0394";"2020JJ00";"6025";"5287";"2944"
"19724";"0.0.0 ";"GM1655";"2020JJ00";"1076";"950";"528"
"19876";"0.0.0 ";"GM0160";"2020JJ00";"1580";"1277";"542"
"20028";"0.0.0 ";"GM0243";"2020JJ00";"2022";"1515";"731"
"20180";"0.0.0 ";"GM0523";"2020JJ00";"449";"350";"206"
"20332";"0.0.0 ";"GM0072";"2020JJ00";"532";"437";"202"
"20484";"0.0.0 ";"GM0244";"2020JJ00";"304";"253";"140"
"20636";"0.0.0 ";"GM0396";"2020JJ00";"1275";"1156";"576"
"20788";"0.0.0 ";"GM0397";"2020JJ00";"1109";"950";"558"
"20940";"0.0.0 ";"GM0246";"2020JJ00";"431";"346";"165"
"21092";"0.0.0 ";"GM0074";"2020JJ00";"1833";"1512";"693"
"21244";"0.0.0 ";"GM0917";"2020JJ00";"4995";"4117";"1866"
"21396";"0.0.0 ";"GM1658";"2020JJ00";"479";"406";"215"
"21548";"0.0.0 ";"GM0399";"2020JJ00";"683";"621";"317"
"21700";"0.0.0 ";"GM0400";"2020JJ00";"3035";"2494";"965"
"21852";"0.0.0 ";"GM0163";"2020JJ00";"784";"640";"342"
"22004";"0.0.0 ";"GM0794";"2020JJ00";"5056";"4231";"1962"
"22156";"0.0.0 ";"GM0531";"2020JJ00";"1026";"906";"655"
"22308";"0.0.0 ";"GM0164";"2020JJ00";"3932";"3297";"1882"
"22460";"0.0.0 ";"GM0796";"2020JJ00";"8868";"7466";"3998"
"22612";"0.0.0 ";"GM0252";"2020JJ00";"558";"487";"279"
"22764";"0.0.0 ";"GM0797";"2020JJ00";"1410";"1136";"612"
"22916";"0.0.0 ";"GM0534";"2020JJ00";"722";"616";"349"
"23068";"0.0.0 ";"GM0798";"2020JJ00";"455";"415";"253"
"23220";"0.0.0 ";"GM0402";"2020JJ00";"4498";"4027";"2170"
"23372";"0.0.0 ";"GM1963";"2020JJ00";"2285";"1916";"1099"
"23524";"0.0.0 ";"GM1735";"2020JJ00";"859";"740";"382"
"23676";"0.0.0 ";"GM1966";"2020JJ00";"1226";"1052";"470"
"23828";"0.0.0 ";"GM1911";"2020JJ00";"1339";"1154";"589"
"23980";"0.0.0 ";"GM0118";"2020JJ00";"2356";"2056";"980"
"24132";"0.0.0 ";"GM0405";"2020JJ00";"3755";"3315";"1647"
"24284";"0.0.0 ";"GM1507";"2020JJ00";"1420";"1264";"707"
"24436";"0.0.0 ";"GM0321";"2020JJ00";"1674";"1522";"844"
"24588";"0.0.0 ";"GM0406";"2020JJ00";"1292";"1173";"588"
"24740";"0.0.0 ";"GM0677";"2020JJ00";"830";"660";"283"
"24892";"0.0.0 ";"GM0353";"2020JJ00";"1343";"1211";"749"
"25044";"0.0.0 ";"GM1884";"2020JJ00";"754";"594";"312"
"25196";"0.0.0 ";"GM0166";"2020JJ00";"1780";"1495";"663"
"25348";"0.0.0 ";"GM0678";"2020JJ00";"339";"272";"143"
"25500";"0.0.0 ";"GM0537";"2020JJ00";"2014";"1728";"985"
"25652";"0.0.0 ";"GM0928";"2020JJ00";"2645";"2179";"897"
"25804";"0.0.0 ";"GM1598";"2020JJ00";"683";"580";"330"
"25956";"0.0.0 ";"GM0542";"2020JJ00";"722";"628";"356"
"26108";"0.0.0 ";"GM1931";"2020JJ00";"1578";"1326";"644"
"26260";"0.0.0 ";"GM1659";"2020JJ00";"693";"597";"313"
"26412";"0.0.0 ";"GM1982";"2020JJ00";"3071";"2621";"1242"
"26564";"0.0.0 ";"GM0882";"2020JJ00";"1441";"1225";"578"
"26716";"0.0.0 ";"GM0415";"2020JJ00";"460";"404";"246"
"26868";"0.0.0 ";"GM1621";"2020JJ00";"2036";"1747";"1054"
"27020";"0.0.0 ";"GM0417";"2020JJ00";"456";"375";"179"
"27172";"0.0.0 ";"GM0080";"2020JJ00";"6218";"4881";"2239"
"27324";"0.0.0 ";"GM0546";"2020JJ00";"6110";"4857";"2503"
