"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijven_1";"Aangiften_2";"Internetaangiften_3"
"64";"0.0.0 ";"NL01  ";"2016JJ00";"914208";"799103";"367055"
"216";"0.0.0 ";"LD01  ";"2016JJ00";"72079";"63112";"26690"
"368";"0.0.0 ";"LD02  ";"2016JJ00";"160221";"141406";"66051"
"520";"0.0.0 ";"LD03  ";"2016JJ00";"485959";"419366";"193360"
"672";"0.0.0 ";"LDG4  ";"2016JJ00";;;
"824";"0.0.0 ";"LD04  ";"2016JJ00";"195330";"174615";"80353"
"976";"0.0.0 ";"LD99  ";"2016JJ00";"619";"604";"601"
"1128";"0.0.0 ";"PV20  ";"2016JJ00";"29292";"25990";"11176"
"1280";"0.0.0 ";"PV21  ";"2016JJ00";"24374";"20887";"8477"
"1432";"0.0.0 ";"PV22  ";"2016JJ00";"18413";"16235";"7037"
"1584";"0.0.0 ";"PV23  ";"2016JJ00";"48133";"42263";"20248"
"1736";"0.0.0 ";"PV24  ";"2016JJ00";"20566";"17651";"7146"
"1888";"0.0.0 ";"PV25  ";"2016JJ00";"91522";"81492";"38657"
"2040";"0.0.0 ";"PV26  ";"2016JJ00";"72226";"65558";"33543"
"2192";"0.0.0 ";"PV27  ";"2016JJ00";"183776";"159973";"68718"
"2344";"0.0.0 ";"PV28  ";"2016JJ00";"214602";"181024";"85504"
"2496";"0.0.0 ";"PV29  ";"2016JJ00";"15355";"12811";"5595"
"2648";"0.0.0 ";"PV30  ";"2016JJ00";"133097";"118754";"57919"
"2800";"0.0.0 ";"PV31  ";"2016JJ00";"62233";"55861";"22434"
"2952";"0.0.0 ";"PV99  ";"2016JJ00";"619";"604";"601"
"3104";"0.0.0 ";"GM1680";"2016JJ00";"616";"541";"265"
"3256";"0.0.0 ";"GM0358";"2016JJ00";"1158";"992";"420"
"3408";"0.0.0 ";"GM0197";"2016JJ00";"632";"564";"244"
"3560";"0.0.0 ";"GM0059";"2016JJ00";"755";"613";"263"
"3712";"0.0.0 ";"GM0482";"2016JJ00";"725";"586";"279"
"3864";"0.0.0 ";"GM0613";"2016JJ00";"1018";"929";"508"
"4016";"0.0.0 ";"GM0361";"2016JJ00";"6915";"6122";"2714"
"4168";"0.0.0 ";"GM0141";"2016JJ00";"3978";"3502";"1597"
"4320";"0.0.0 ";"GM0034";"2016JJ00";"11226";"9648";"3896"
"4472";"0.0.0 ";"GM0484";"2016JJ00";"4211";"3699";"1867"
"4624";"0.0.0 ";"GM1723";"2016JJ00";"327";"285";"126"
"4776";"0.0.0 ";"GM1959";"2016JJ00";"1507";"1321";"720"
"4928";"0.0.0 ";"GM0060";"2016JJ00";"139";"118";"44"
"5080";"0.0.0 ";"GM0307";"2016JJ00";"8346";"7436";"3476"
"5232";"0.0.0 ";"GM0362";"2016JJ00";"4227";"3804";"1945"
"5384";"0.0.0 ";"GM0363";"2016JJ00";"90699";"77088";"30615"
"5536";"0.0.0 ";"GM0200";"2016JJ00";"8214";"7290";"3443"
"5688";"0.0.0 ";"GM0202";"2016JJ00";"12510";"11107";"5002"
"5840";"0.0.0 ";"GM0106";"2016JJ00";"3699";"3263";"1528"
"5992";"0.0.0 ";"GM0743";"2016JJ00";"743";"639";"229"
"6144";"0.0.0 ";"GM0744";"2016JJ00";"227";"211";"88"
"6296";"0.0.0 ";"GM0308";"2016JJ00";"1268";"1158";"609"
"6448";"0.0.0 ";"GM0489";"2016JJ00";"2067";"1875";"1117"
"6600";"0.0.0 ";"GM0203";"2016JJ00";"1989";"1705";"819"
"6752";"0.0.0 ";"GM0888";"2016JJ00";"997";"956";"445"
"6904";"0.0.0 ";"GM1954";"2016JJ00";"1382";"1274";"569"
"7056";"0.0.0 ";"GM0889";"2016JJ00";"437";"400";"160"
"7208";"0.0.0 ";"GM1945";"2016JJ00";"1179";"1074";"490"
"7360";"0.0.0 ";"GM1724";"2016JJ00";"595";"534";"272"
"7512";"0.0.0 ";"GM0893";"2016JJ00";"404";"366";"146"
"7664";"0.0.0 ";"GM0373";"2016JJ00";"1181";"1048";"494"
"7816";"0.0.0 ";"GM0748";"2016JJ00";"3860";"3309";"1494"
"7968";"0.0.0 ";"GM1859";"2016JJ00";"1062";"924";"417"
"8120";"0.0.0 ";"GM1721";"2016JJ00";"1034";"917";"432"
"8272";"0.0.0 ";"GM0753";"2016JJ00";"1298";"1137";"561"
"8424";"0.0.0 ";"GM0209";"2016JJ00";"881";"807";"411"
"8576";"0.0.0 ";"GM0375";"2016JJ00";"2314";"2055";"738"
"8728";"0.0.0 ";"GM0310";"2016JJ00";"1690";"1565";"783"
"8880";"0.0.0 ";"GM1728";"2016JJ00";"837";"758";"372"
"9032";"0.0.0 ";"GM0376";"2016JJ00";"510";"476";"227"
"9184";"0.0.0 ";"GM0377";"2016JJ00";"1012";"865";"459"
"9336";"0.0.0 ";"GM1901";"2016JJ00";"1428";"1300";"692"
"9488";"0.0.0 ";"GM0755";"2016JJ00";"308";"292";"153"
"9640";"0.0.0 ";"GM1681";"2016JJ00";"592";"484";"192"
"9792";"0.0.0 ";"GM0147";"2016JJ00";"668";"596";"299"
"9944";"0.0.0 ";"GM0654";"2016JJ00";"492";"409";"191"
"10096";"0.0.0 ";"GM0757";"2016JJ00";"1459";"1296";"667"
