"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijven_1";"Aangiften_2";"Internetaangiften_3"
"90";"0.0.0 ";"NL01  ";"2018JJ00";"770424";"653247";"274083"
"242";"0.0.0 ";"LD01  ";"2018JJ00";"61348";"51333";"18464"
"394";"0.0.0 ";"LD02  ";"2018JJ00";"135335";"115507";"50088"
"546";"0.0.0 ";"LD03  ";"2018JJ00";"411246";"346182";"147889"
"698";"0.0.0 ";"LDG4  ";"2018JJ00";;;
"850";"0.0.0 ";"LD04  ";"2018JJ00";"162339";"140076";"57501"
"1002";"0.0.0 ";"LD99  ";"2018JJ00";"156";"149";"141"
"1154";"0.0.0 ";"PV20  ";"2018JJ00";"24124";"20319";"7371"
"1306";"0.0.0 ";"PV21  ";"2018JJ00";"21799";"17872";"6225"
"1458";"0.0.0 ";"PV22  ";"2018JJ00";"15425";"13142";"4868"
"1610";"0.0.0 ";"PV23  ";"2018JJ00";"41732";"35579";"15437"
"1762";"0.0.0 ";"PV24  ";"2018JJ00";"17936";"14948";"5520"
"1914";"0.0.0 ";"PV25  ";"2018JJ00";"75667";"64980";"29131"
"2066";"0.0.0 ";"PV26  ";"2018JJ00";"63407";"56511";"27377"
"2218";"0.0.0 ";"PV27  ";"2018JJ00";"157474";"133715";"54283"
"2370";"0.0.0 ";"PV28  ";"2018JJ00";"177838";"146218";"62796"
"2522";"0.0.0 ";"PV29  ";"2018JJ00";"12527";"9738";"3433"
"2674";"0.0.0 ";"PV30  ";"2018JJ00";"110718";"95136";"41068"
"2826";"0.0.0 ";"PV31  ";"2018JJ00";"51621";"44940";"16433"
"2978";"0.0.0 ";"PV99  ";"2018JJ00";"156";"149";"141"
"3130";"0.0.0 ";"GM1680";"2018JJ00";"538";"461";"170"
"3282";"0.0.0 ";"GM0358";"2018JJ00";"1103";"938";"407"
"3434";"0.0.0 ";"GM0197";"2018JJ00";"499";"385";"159"
"3586";"0.0.0 ";"GM0059";"2018JJ00";"681";"569";"200"
"3738";"0.0.0 ";"GM0482";"2018JJ00";"584";"490";"223"
"3890";"0.0.0 ";"GM0613";"2018JJ00";"962";"862";"432"
"4042";"0.0.0 ";"GM0361";"2018JJ00";"5362";"4665";"1918"
"4194";"0.0.0 ";"GM0141";"2018JJ00";"3518";"2883";"1145"
"4346";"0.0.0 ";"GM0034";"2018JJ00";"9936";"8338";"3132"
"4498";"0.0.0 ";"GM0484";"2018JJ00";"3708";"3110";"1465"
"4650";"0.0.0 ";"GM1723";"2018JJ00";"261";"226";"88"
"4802";"0.0.0 ";"GM1959";"2018JJ00";"1246";"1027";"538"
"4954";"0.0.0 ";"GM0060";"2018JJ00";"100";"86";"25"
"5106";"0.0.0 ";"GM0307";"2018JJ00";"7345";"6389";"2793"
"5258";"0.0.0 ";"GM0362";"2018JJ00";"3973";"3540";"1701"
"5410";"0.0.0 ";"GM0363";"2018JJ00";"81332";"67557";"26448"
"5562";"0.0.0 ";"GM0200";"2018JJ00";"7163";"6059";"2680"
"5714";"0.0.0 ";"GM0202";"2018JJ00";"10606";"9118";"3724"
"5866";"0.0.0 ";"GM0106";"2018JJ00";"2996";"2505";"1026"
"6018";"0.0.0 ";"GM0743";"2018JJ00";"508";"422";"147"
"6170";"0.0.0 ";"GM0744";"2018JJ00";"176";"149";"58"
"6322";"0.0.0 ";"GM0308";"2018JJ00";"1088";"959";"380"
"6474";"0.0.0 ";"GM0489";"2018JJ00";"1872";"1669";"1008"
"6626";"0.0.0 ";"GM0203";"2018JJ00";"1669";"1333";"575"
"6778";"0.0.0 ";"GM0888";"2018JJ00";"599";"551";"215"
"6930";"0.0.0 ";"GM1954";"2018JJ00";"1017";"897";"353"
"7082";"0.0.0 ";"GM0889";"2018JJ00";"350";"310";"119"
"7234";"0.0.0 ";"GM1945";"2018JJ00";"960";"835";"377"
"7386";"0.0.0 ";"GM1724";"2018JJ00";"491";"431";"182"
"7538";"0.0.0 ";"GM0893";"2018JJ00";"359";"301";"124"
"7690";"0.0.0 ";"GM0373";"2018JJ00";"828";"747";"289"
"7842";"0.0.0 ";"GM0748";"2018JJ00";"3142";"2703";"1164"
"7994";"0.0.0 ";"GM1859";"2018JJ00";"983";"796";"331"
"8146";"0.0.0 ";"GM1721";"2018JJ00";"813";"696";"337"
"8298";"0.0.0 ";"GM0753";"2018JJ00";"1085";"926";"368"
"8450";"0.0.0 ";"GM0209";"2018JJ00";"772";"703";"365"
"8602";"0.0.0 ";"GM0375";"2018JJ00";"1797";"1555";"475"
"8754";"0.0.0 ";"GM0310";"2018JJ00";"1472";"1328";"679"
"8906";"0.0.0 ";"GM1728";"2018JJ00";"580";"517";"224"
"9058";"0.0.0 ";"GM0376";"2018JJ00";"334";"286";"103"
"9210";"0.0.0 ";"GM0377";"2018JJ00";"890";"771";"341"
"9362";"0.0.0 ";"GM1901";"2018JJ00";"1140";"987";"514"
"9514";"0.0.0 ";"GM0755";"2018JJ00";"247";"221";"83"
"9666";"0.0.0 ";"GM1681";"2018JJ00";"546";"468";"164"
"9818";"0.0.0 ";"GM0147";"2018JJ00";"577";"448";"212"
"9970";"0.0.0 ";"GM0654";"2018JJ00";"377";"297";"121"
"10122";"0.0.0 ";"GM0757";"2018JJ00";"1156";"973";"421"
"10274";"0.0.0 ";"GM0758";"2018JJ00";"10509";"8688";"3792"
"10426";"0.0.0 ";"GM1876";"2018JJ00";"608";"544";"251"
"10578";"0.0.0 ";"GM0213";"2018JJ00";"511";"449";"213"
"10730";"0.0.0 ";"GM0899";"2018JJ00";"1253";"1104";"340"
"10882";"0.0.0 ";"GM0312";"2018JJ00";"570";"496";"265"
"11034";"0.0.0 ";"GM0313";"2018JJ00";"503";"427";"169"
"11186";"0.0.0 ";"GM0214";"2018JJ00";"589";"527";"240"
"11338";"0.0.0 ";"GM0502";"2018JJ00";"2751";"2301";"975"
"11490";"0.0.0 ";"GM0383";"2018JJ00";"970";"879";"370"
"11642";"0.0.0 ";"GM0109";"2018JJ00";"1244";"1093";"355"
"11794";"0.0.0 ";"GM1706";"2018JJ00";"753";"653";"220"
"11946";"0.0.0 ";"GM0216";"2018JJ00";"953";"846";"376"
"12098";"0.0.0 ";"GM0148";"2018JJ00";"415";"338";"137"
"12250";"0.0.0 ";"GM1891";"2018JJ00";"369";"294";"105"
"12402";"0.0.0 ";"GM0503";"2018JJ00";"5605";"4935";"2241"
"12554";"0.0.0 ";"GM0762";"2018JJ00";"992";"859";"379"
"12706";"0.0.0 ";"GM0150";"2018JJ00";"4668";"4074";"1805"
"12858";"0.0.0 ";"GM0384";"2018JJ00";"1531";"1343";"477"
"13010";"0.0.0 ";"GM1980";"2018JJ00";"2908";"2556";"1047"
"13162";"0.0.0 ";"GM1774";"2018JJ00";"412";"322";"147"
"13314";"0.0.0 ";"GM0221";"2018JJ00";"373";"324";"153"
"13466";"0.0.0 ";"GM0222";"2018JJ00";"2134";"1766";"726"
"13618";"0.0.0 ";"GM0766";"2018JJ00";"693";"611";"306"
"13770";"0.0.0 ";"GM0505";"2018JJ00";"6332";"5250";"2198"
"13922";"0.0.0 ";"GM0498";"2018JJ00";"459";"406";"183"
"14074";"0.0.0 ";"GM1719";"2018JJ00";"657";"574";"271"
"14226";"0.0.0 ";"GM0303";"2018JJ00";"1294";"1058";"477"
"14378";"0.0.0 ";"GM0225";"2018JJ00";"471";"397";"199"
"14530";"0.0.0 ";"GM0226";"2018JJ00";"836";"720";"361"
"14682";"0.0.0 ";"GM1711";"2018JJ00";"1143";"966";"329"
"14834";"0.0.0 ";"GM0385";"2018JJ00";"750";"665";"254"
"14986";"0.0.0 ";"GM0228";"2018JJ00";"4853";"4288";"1887"
"15138";"0.0.0 ";"GM0317";"2018JJ00";"303";"262";"111"
"15290";"0.0.0 ";"GM1979";"2018JJ00";"1545";"1245";"356"
"15442";"0.0.0 ";"GM0770";"2018JJ00";"680";"535";"245"
"15594";"0.0.0 ";"GM1903";"2018JJ00";"795";"712";"297"
"15746";"0.0.0 ";"GM0772";"2018JJ00";"17155";"14784";"5651"
"15898";"0.0.0 ";"GM0230";"2018JJ00";"516";"409";"205"
"16050";"0.0.0 ";"GM0114";"2018JJ00";"3870";"3330";"1095"
"16202";"0.0.0 ";"GM0388";"2018JJ00";"745";"655";"281"
"16354";"0.0.0 ";"GM0153";"2018JJ00";"8932";"7943";"3504"
"16506";"0.0.0 ";"GM0232";"2018JJ00";"951";"804";"339"
"16658";"0.0.0 ";"GM0233";"2018JJ00";"1007";"845";"316"
"16810";"0.0.0 ";"GM0777";"2018JJ00";"1564";"1355";"623"
"16962";"0.0.0 ";"GM1940";"2018JJ00";"1255";"966";"380"
"17114";"0.0.0 ";"GM0779";"2018JJ00";"841";"713";"371"
"17266";"0.0.0 ";"GM1771";"2018JJ00";"1348";"1136";"471"
"17418";"0.0.0 ";"GM1652";"2018JJ00";"807";"717";"357"
