"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijven_1";"Aangiften_2";"Internetaangiften_3"
"142";"0.0.0 ";"NL01  ";"2022JJ00";"799681";"657512";"357232"
"294";"0.0.0 ";"LD01  ";"2022JJ00";"63445";"52964";"27903"
"446";"0.0.0 ";"LD02  ";"2022JJ00";"144450";"118500";"66313"
"598";"0.0.0 ";"LD03  ";"2022JJ00";"420994";"345242";"186735"
"750";"0.0.0 ";"LDG4  ";"2022JJ00";;;
"902";"0.0.0 ";"LD04  ";"2022JJ00";"170521";"140535";"76010"
"1054";"0.0.0 ";"LD99  ";"2022JJ00";"271";"271";"271"
"1206";"0.0.0 ";"PV20  ";"2022JJ00";"25222";"21178";"11533"
"1358";"0.0.0 ";"PV21  ";"2022JJ00";"20943";"16982";"8175"
"1510";"0.0.0 ";"PV22  ";"2022JJ00";"17280";"14804";"8195"
"1662";"0.0.0 ";"PV23  ";"2022JJ00";"46114";"38369";"21999"
"1814";"0.0.0 ";"PV24  ";"2022JJ00";"17069";"13726";"6797"
"1966";"0.0.0 ";"PV25  ";"2022JJ00";"81267";"66405";"37517"
"2118";"0.0.0 ";"PV26  ";"2022JJ00";"58624";"50281";"30084"
"2270";"0.0.0 ";"PV27  ";"2022JJ00";"158221";"130813";"69849"
"2422";"0.0.0 ";"PV28  ";"2022JJ00";"190116";"152790";"81118"
"2574";"0.0.0 ";"PV29  ";"2022JJ00";"14033";"11358";"5684"
"2726";"0.0.0 ";"PV30  ";"2022JJ00";"117777";"97079";"53158"
"2878";"0.0.0 ";"PV31  ";"2022JJ00";"52744";"43456";"22852"
"3030";"0.0.0 ";"PV99  ";"2022JJ00";"271";"271";"271"
"3182";"0.0.0 ";"GM1680";"2022JJ00";"655";"582";"337"
"3334";"0.0.0 ";"GM0358";"2022JJ00";"1003";"817";"424"
"3486";"0.0.0 ";"GM0197";"2022JJ00";"533";"440";"232"
"3638";"0.0.0 ";"GM0059";"2022JJ00";"613";"438";"167"
"3790";"0.0.0 ";"GM0482";"2022JJ00";"526";"430";"244"
"3942";"0.0.0 ";"GM0613";"2022JJ00";"1014";"856";"506"
"4094";"0.0.0 ";"GM0361";"2022JJ00";"5960";"4943";"2603"
"4246";"0.0.0 ";"GM0141";"2022JJ00";"4334";"3434";"1907"
"4398";"0.0.0 ";"GM0034";"2022JJ00";"8945";"7155";"3472"
"4550";"0.0.0 ";"GM0484";"2022JJ00";"4162";"3373";"1782"
"4702";"0.0.0 ";"GM1723";"2022JJ00";"284";"253";"141"
"4854";"0.0.0 ";"GM1959";"2022JJ00";"1499";"1221";"688"
"5006";"0.0.0 ";"GM0060";"2022JJ00";"107";"93";"39"
"5158";"0.0.0 ";"GM0307";"2022JJ00";"7093";"6018";"3830"
"5310";"0.0.0 ";"GM0362";"2022JJ00";"3621";"3096";"1641"
"5462";"0.0.0 ";"GM0363";"2022JJ00";"76879";"63055";"33503"
"5614";"0.0.0 ";"GM0200";"2022JJ00";"7074";"5660";"3085"
"5766";"0.0.0 ";"GM0202";"2022JJ00";"10796";"8564";"4544"
"5918";"0.0.0 ";"GM0106";"2022JJ00";"3392";"2894";"1785"
"6070";"0.0.0 ";"GM0743";"2022JJ00";"618";"487";"255"
"6222";"0.0.0 ";"GM0744";"2022JJ00";"212";"186";"91"
"6374";"0.0.0 ";"GM0308";"2022JJ00";"879";"715";"390"
"6526";"0.0.0 ";"GM0489";"2022JJ00";"1885";"1627";"1037"
"6678";"0.0.0 ";"GM0203";"2022JJ00";"1851";"1347";"757"
"6830";"0.0.0 ";"GM0888";"2022JJ00";"634";"550";"371"
"6982";"0.0.0 ";"GM1954";"2022JJ00";"1103";"1007";"583"
"7134";"0.0.0 ";"GM0889";"2022JJ00";"373";"338";"212"
"7286";"0.0.0 ";"GM1945";"2022JJ00";"1283";"1101";"622"
"7438";"0.0.0 ";"GM1724";"2022JJ00";"482";"422";"216"
"7590";"0.0.0 ";"GM0893";"2022JJ00";"411";"314";"154"
"7742";"0.0.0 ";"GM0373";"2022JJ00";"857";"753";"421"
"7894";"0.0.0 ";"GM0748";"2022JJ00";"3108";"2533";"1429"
"8046";"0.0.0 ";"GM1859";"2022JJ00";"1115";"949";"478"
"8198";"0.0.0 ";"GM1721";"2022JJ00";"918";"752";"406"
"8350";"0.0.0 ";"GM0753";"2022JJ00";"1255";"1011";"549"
