"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijven_1";"Aangiften_2";"Internetaangiften_3"
"38";"0.0.0 ";"NL01  ";"2014JJ00";"1002649";"874029";"362229"
"190";"0.0.0 ";"LD01  ";"2014JJ00";"78344";"68303";"24826"
"342";"0.0.0 ";"LD02  ";"2014JJ00";"175729";"154956";"68759"
"494";"0.0.0 ";"LD03  ";"2014JJ00";"526015";"450442";"181548"
"646";"0.0.0 ";"LDG4  ";"2014JJ00";;;
"798";"0.0.0 ";"LD04  ";"2014JJ00";"222545";"200320";"87096"
"950";"0.0.0 ";"LD99  ";"2014JJ00";"16";"8";
"1102";"0.0.0 ";"PV20  ";"2014JJ00";"30162";"26585";"9440"
"1254";"0.0.0 ";"PV21  ";"2014JJ00";"27230";"23316";"8469"
"1406";"0.0.0 ";"PV22  ";"2014JJ00";"20952";"18402";"6917"
"1558";"0.0.0 ";"PV23  ";"2014JJ00";"53088";"46483";"21495"
"1710";"0.0.0 ";"PV24  ";"2014JJ00";"22953";"19887";"7394"
"1862";"0.0.0 ";"PV25  ";"2014JJ00";"99688";"88586";"39870"
"2014";"0.0.0 ";"PV26  ";"2014JJ00";"75723";"67769";"30391"
"2166";"0.0.0 ";"PV27  ";"2014JJ00";"200139";"175254";"66221"
"2318";"0.0.0 ";"PV28  ";"2014JJ00";"233330";"193790";"79926"
"2470";"0.0.0 ";"PV29  ";"2014JJ00";"16823";"13629";"5010"
"2622";"0.0.0 ";"PV30  ";"2014JJ00";"149516";"133954";"62242"
"2774";"0.0.0 ";"PV31  ";"2014JJ00";"73029";"66366";"24854"
"2926";"0.0.0 ";"PV99  ";"2014JJ00";"16";"8";
"3078";"0.0.0 ";"GM1680";"2014JJ00";"664";"561";"226"
"3230";"0.0.0 ";"GM0358";"2014JJ00";"1196";"1021";"396"
"3382";"0.0.0 ";"GM0197";"2014JJ00";"656";"589";"273"
"3534";"0.0.0 ";"GM0059";"2014JJ00";"745";"643";"196"
"3686";"0.0.0 ";"GM0482";"2014JJ00";"760";"642";"272"
"3838";"0.0.0 ";"GM0613";"2014JJ00";"1047";"942";"470"
"3990";"0.0.0 ";"GM0361";"2014JJ00";"8156";"7360";"3118"
"4142";"0.0.0 ";"GM0141";"2014JJ00";"4451";"3869";"1846"
"4294";"0.0.0 ";"GM0034";"2014JJ00";"13194";"11619";"4197"
"4446";"0.0.0 ";"GM0484";"2014JJ00";"4688";"4225";"1993"
"4598";"0.0.0 ";"GM1723";"2014JJ00";"425";"376";"149"
"4750";"0.0.0 ";"GM1959";"2014JJ00";"1780";"1604";"827"
"4902";"0.0.0 ";"GM0060";"2014JJ00";"144";"132";"38"
"5054";"0.0.0 ";"GM0307";"2014JJ00";"9239";"8241";"3317"
"5206";"0.0.0 ";"GM0362";"2014JJ00";"4164";"3739";"1494"
