"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijven_1";"Aangiften_2";"Internetaangiften_3"
"129";"0.0.0 ";"NL01  ";"2021JJ00";"742969";"616518";"326435"
"281";"0.0.0 ";"LD01  ";"2021JJ00";"59638";"49626";"25128"
"433";"0.0.0 ";"LD02  ";"2021JJ00";"135446";"112707";"60283"
"585";"0.0.0 ";"LD03  ";"2021JJ00";"387876";"320622";"170037"
"737";"0.0.0 ";"LDG4  ";"2021JJ00";;;
"889";"0.0.0 ";"LD04  ";"2021JJ00";"159646";"133199";"70623"
"1041";"0.0.0 ";"LD99  ";"2021JJ00";"363";"364";"364"
"1193";"0.0.0 ";"PV20  ";"2021JJ00";"23068";"19290";"9842"
"1345";"0.0.0 ";"PV21  ";"2021JJ00";"20058";"16099";"7714"
"1497";"0.0.0 ";"PV22  ";"2021JJ00";"16512";"14237";"7572"
"1649";"0.0.0 ";"PV23  ";"2021JJ00";"41107";"33851";"18217"
"1801";"0.0.0 ";"PV24  ";"2021JJ00";"16563";"13618";"6718"
"1953";"0.0.0 ";"PV25  ";"2021JJ00";"77776";"65238";"35348"
"2105";"0.0.0 ";"PV26  ";"2021JJ00";"56411";"49524";"28824"
"2257";"0.0.0 ";"PV27  ";"2021JJ00";"140656";"116329";"61316"
"2409";"0.0.0 ";"PV28  ";"2021JJ00";"177479";"144056";"74516"
"2561";"0.0.0 ";"PV29  ";"2021JJ00";"13330";"10713";"5381"
"2713";"0.0.0 ";"PV30  ";"2021JJ00";"111742";"93389";"50079"
"2865";"0.0.0 ";"PV31  ";"2021JJ00";"47904";"39810";"20544"
"3017";"0.0.0 ";"PV99  ";"2021JJ00";"363";"364";"364"
"3169";"0.0.0 ";"GM1680";"2021JJ00";"606";"534";"295"
"3321";"0.0.0 ";"GM0358";"2021JJ00";"1006";"834";"416"
"3473";"0.0.0 ";"GM0197";"2021JJ00";"499";"431";"229"
"3625";"0.0.0 ";"GM0059";"2021JJ00";"630";"499";"227"
"3777";"0.0.0 ";"GM0482";"2021JJ00";"593";"514";"285"
"3929";"0.0.0 ";"GM0613";"2021JJ00";"961";"836";"469"
"4081";"0.0.0 ";"GM0361";"2021JJ00";"4998";"4276";"2236"
"4233";"0.0.0 ";"GM0141";"2021JJ00";"3599";"2842";"1463"
"4385";"0.0.0 ";"GM0034";"2021JJ00";"8652";"7042";"3412"
"4537";"0.0.0 ";"GM0484";"2021JJ00";"4218";"3472";"1851"
"4689";"0.0.0 ";"GM1723";"2021JJ00";"296";"262";"154"
"4841";"0.0.0 ";"GM1959";"2021JJ00";"1428";"1144";"698"
"4993";"0.0.0 ";"GM0060";"2021JJ00";"95";"77";"43"
"5145";"0.0.0 ";"GM0307";"2021JJ00";"6312";"5410";"3183"
"5297";"0.0.0 ";"GM0362";"2021JJ00";"3604";"3035";"1691"
"5449";"0.0.0 ";"GM0363";"2021JJ00";"64525";"51344";"26069"
"5601";"0.0.0 ";"GM0200";"2021JJ00";"6875";"5719";"3083"
"5753";"0.0.0 ";"GM0202";"2021JJ00";"10589";"8546";"4151"
"5905";"0.0.0 ";"GM0106";"2021JJ00";"3334";"2855";"1524"
"6057";"0.0.0 ";"GM0743";"2021JJ00";"564";"481";"257"
"6209";"0.0.0 ";"GM0744";"2021JJ00";"218";"195";"99"
"6361";"0.0.0 ";"GM0308";"2021JJ00";"873";"777";"473"
"6513";"0.0.0 ";"GM0489";"2021JJ00";"1746";"1511";"942"
"6665";"0.0.0 ";"GM0203";"2021JJ00";"1934";"1495";"815"
"6817";"0.0.0 ";"GM0888";"2021JJ00";"567";"504";"275"
"6969";"0.0.0 ";"GM1954";"2021JJ00";"1039";"901";"506"
"7121";"0.0.0 ";"GM0889";"2021JJ00";"399";"358";"209"
"7273";"0.0.0 ";"GM1945";"2021JJ00";"1107";"965";"552"
"7425";"0.0.0 ";"GM1724";"2021JJ00";"503";"452";"240"
"7577";"0.0.0 ";"GM0893";"2021JJ00";"509";"430";"204"
"7729";"0.0.0 ";"GM0373";"2021JJ00";"876";"794";"445"
"7881";"0.0.0 ";"GM0748";"2021JJ00";"3444";"2872";"1511"
"8033";"0.0.0 ";"GM1859";"2021JJ00";"1007";"856";"437"
"8185";"0.0.0 ";"GM1721";"2021JJ00";"922";"747";"427"
"8337";"0.0.0 ";"GM0753";"2021JJ00";"1156";"960";"495"
"8489";"0.0.0 ";"GM0209";"2021JJ00";"785";"662";"383"
"8641";"0.0.0 ";"GM0375";"2021JJ00";"1801";"1539";"796"
"8793";"0.0.0 ";"GM0310";"2021JJ00";"1570";"1398";"860"
"8945";"0.0.0 ";"GM1728";"2021JJ00";"647";"537";"265"
"9097";"0.0.0 ";"GM0376";"2021JJ00";"343";"308";"166"
"9249";"0.0.0 ";"GM0377";"2021JJ00";"949";"830";"510"
"9401";"0.0.0 ";"GM1901";"2021JJ00";"1137";"917";"519"
"9553";"0.0.0 ";"GM0755";"2021JJ00";"284";"250";"124"
"9705";"0.0.0 ";"GM1681";"2021JJ00";"604";"494";"261"
"9857";"0.0.0 ";"GM0147";"2021JJ00";"606";"447";"242"
"10009";"0.0.0 ";"GM0654";"2021JJ00";"471";"388";"214"
"10161";"0.0.0 ";"GM0757";"2021JJ00";"1283";"1097";"638"
"10313";"0.0.0 ";"GM0758";"2021JJ00";"9907";"8081";"4451"
"10465";"0.0.0 ";"GM1876";"2021JJ00";"686";"611";"313"
"10617";"0.0.0 ";"GM0213";"2021JJ00";"559";"509";"305"
"10769";"0.0.0 ";"GM0899";"2021JJ00";"1227";"1011";"495"
"10921";"0.0.0 ";"GM0312";"2021JJ00";"457";"385";"221"
"11073";"0.0.0 ";"GM0313";"2021JJ00";"594";"515";"319"
"11225";"0.0.0 ";"GM0214";"2021JJ00";"699";"593";"334"
"11377";"0.0.0 ";"GM0502";"2021JJ00";"2673";"2178";"1243"
"11529";"0.0.0 ";"GM0383";"2021JJ00";"946";"830";"472"
"11681";"0.0.0 ";"GM0109";"2021JJ00";"1088";"946";"500"
"11833";"0.0.0 ";"GM1706";"2021JJ00";"910";"718";"274"
"11985";"0.0.0 ";"GM0216";"2021JJ00";"990";"882";"534"
"12137";"0.0.0 ";"GM0148";"2021JJ00";"473";"403";"219"
"12289";"0.0.0 ";"GM1891";"2021JJ00";"384";"283";"139"
"12441";"0.0.0 ";"GM0503";"2021JJ00";"5101";"4129";"2357"
"12593";"0.0.0 ";"GM0762";"2021JJ00";"1098";"977";"524"
"12745";"0.0.0 ";"GM0150";"2021JJ00";"4179";"3538";"1839"
"12897";"0.0.0 ";"GM0384";"2021JJ00";"1580";"1291";"616"
"13049";"0.0.0 ";"GM1980";"2021JJ00";"2949";"2583";"1438"
